customer_id,age,gender,tenure_months,contract_type,payment_method,tech_support,paperless_billing,num_support_tickets,monthly_charges,total_charges,churn
CUST_00001,56,Male,70,Month-to-month,Electronic check,Yes,No,2,109.32,7638.56,No
CUST_00002,69,Female,39,Month-to-month,Electronic check,Yes,No,0,104.75,4051.66,Yes
CUST_00003,46,Male,56,Two year,Bank transfer,No,No,1,70.87,3906.01,Yes
CUST_00004,32,Female,63,Month-to-month,Mailed check,No,Yes,1,71.64,4485.57,No
CUST_00005,60,Male,46,Month-to-month,Bank transfer,No,Yes,2,82.11,3706.94,No
CUST_00006,25,Male,11,Month-to-month,Credit card,No,No,2,56.77,729.02,No
CUST_00007,38,Female,62,Two year,Credit card,No,Yes,3,81.49,5051.26,No
CUST_00008,56,Male,25,Month-to-month,Credit card,No,Yes,3,24.25,603.35,No
CUST_00009,36,Male,71,Month-to-month,Credit card,No,Yes,2,25.13,1813.63,No
CUST_00010,40,Male,52,Two year,Credit card,No,Yes,1,63.44,3347.0,No
CUST_00011,28,Male,4,Two year,Mailed check,No,Yes,3,72.21,336.13,No
CUST_00012,28,Male,59,Month-to-month,Electronic check,Yes,Yes,1,104.34,6209.74,No
CUST_00013,41,Male,20,Two year,Bank transfer,No,Yes,1,29.94,567.26,No
CUST_00014,70,Female,63,Month-to-month,Bank transfer,Yes,Yes,1,98.15,6168.56,No
CUST_00015,53,Male,54,Month-to-month,Credit card,No,Yes,1,39.95,2195.75,Yes
CUST_00016,57,Male,57,Month-to-month,Bank transfer,No,Yes,1,57.44,3247.71,No
CUST_00017,41,Female,41,Month-to-month,Credit card,No,No,0,50.08,2053.02,No
CUST_00018,20,Female,3,One year,Mailed check,No,Yes,3,58.01,193.97,Yes
CUST_00019,39,Female,6,Month-to-month,Mailed check,Yes,Yes,3,34.3,245.06,No
CUST_00020,70,Female,5,Month-to-month,Electronic check,Yes,No,3,67.84,250.32,No
CUST_00021,19,Female,5,One year,Mailed check,No,Yes,2,96.16,516.54,No
CUST_00022,41,Female,54,One year,Mailed check,Yes,Yes,1,61.95,3333.61,No
CUST_00023,61,Female,47,Month-to-month,Electronic check,No,No,1,66.61,3166.04,No
CUST_00024,47,Male,49,One year,Bank transfer,No,Yes,1,100.63,4969.72,No
CUST_00025,55,Male,9,Month-to-month,Credit card,No,No,2,87.08,864.12,Yes
CUST_00026,19,Female,20,One year,Credit card,No,No,0,66.59,,Yes
CUST_00027,38,Male,61,One year,Bank transfer,Yes,No,0,44.48,2780.61,No
CUST_00028,50,Male,35,Two year,Electronic check,No,Yes,2,104.07,3714.63,No
CUST_00029,29,Male,50,Month-to-month,Bank transfer,No,Yes,0,74.82,3755.57,No
CUST_00030,39,Female,62,Month-to-month,Mailed check,Yes,Yes,4,41.01,2544.23,No
CUST_00031,61,Female,17,Month-to-month,Electronic check,No,Yes,0,45.57,818.33,No
CUST_00032,42,Male,3,Month-to-month,Electronic check,Yes,Yes,0,96.3,325.5,No
CUST_00033,66,Female,32,Month-to-month,Electronic check,No,Yes,1,24.19,758.63,No
CUST_00034,44,Male,13,Two year,Credit card,No,Yes,1,114.25,1505.49,No
CUST_00035,59,Male,68,Month-to-month,Bank transfer,Yes,Yes,4,32.38,2200.09,Yes
CUST_00036,45,Male,14,Month-to-month,Electronic check,No,Yes,1,95.63,1296.12,No
CUST_00037,33,Male,11,One year,Electronic check,No,Yes,1,57.5,697.02,No
CUST_00038,32,Female,56,Month-to-month,Electronic check,No,No,2,66.76,3741.32,No
CUST_00039,64,Female,67,One year,Bank transfer,No,Yes,1,103.66,7047.66,No
CUST_00040,68,Female,29,Month-to-month,Credit card,No,Yes,5,59.23,1636.4,No
CUST_00041,61,Male,9,Month-to-month,Mailed check,Yes,No,3,71.06,611.7,Yes
CUST_00042,72,Female,67,Month-to-month,Credit card,Yes,Yes,4,24.68,1655.19,No
CUST_00043,69,Male,25,Month-to-month,Electronic check,Yes,Yes,2,20.22,562.37,No
CUST_00044,74,Female,42,Two year,Credit card,No,Yes,1,43.26,1836.89,No
CUST_00045,20,Male,9,Month-to-month,Credit card,No,No,1,84.66,777.46,No
CUST_00046,54,Male,40,Month-to-month,Mailed check,No,Yes,2,31.52,1204.44,No
CUST_00047,68,Male,25,Month-to-month,Bank transfer,No,Yes,1,30.81,712.4,No
CUST_00048,24,Female,5,Month-to-month,Bank transfer,Yes,Yes,2,59.04,311.33,Yes
CUST_00049,38,Female,11,Two year,Credit card,No,No,2,81.54,828.73,No
CUST_00050,26,Female,59,Month-to-month,Credit card,Yes,Yes,1,87.65,5144.76,No
CUST_00051,56,Female,38,One year,Bank transfer,Yes,Yes,1,36.95,1429.15,No
CUST_00052,35,Male,5,Two year,Bank transfer,Yes,No,1,27.56,88.68,No
CUST_00053,21,Female,48,One year,Mailed check,No,Yes,3,109.34,5328.59,No
CUST_00054,42,Female,18,Two year,Electronic check,Yes,No,1,44.76,866.88,No
CUST_00055,31,Male,70,Month-to-month,Credit card,Yes,Yes,2,101.07,6996.33,No
CUST_00056,67,Male,37,Month-to-month,Bank transfer,Yes,No,3,102.03,3728.49,No
CUST_00057,26,Male,60,Month-to-month,Credit card,Yes,Yes,1,93.39,5489.11,Yes
CUST_00058,43,Female,48,One year,Credit card,No,No,0,36.04,1690.79,No
CUST_00059,70,Male,28,Two year,Bank transfer,No,No,3,98.07,2784.28,No
CUST_00060,19,Male,69,Month-to-month,Mailed check,No,Yes,2,93.08,6401.83,Yes
CUST_00061,37,Male,40,One year,Credit card,No,Yes,1,76.69,3090.64,No
CUST_00062,45,Female,45,Month-to-month,Mailed check,Yes,Yes,2,52.03,2265.23,No
CUST_00063,64,Male,62,One year,Bank transfer,No,Yes,0,44.94,2826.18,No
CUST_00064,24,Female,58,Month-to-month,Electronic check,Yes,Yes,0,31.58,1803.88,No
CUST_00065,61,Female,67,Two year,Electronic check,Yes,Yes,0,68.43,4585.42,No
CUST_00066,25,Male,56,One year,Credit card,Yes,Yes,2,75.6,4228.96,No
CUST_00067,64,Male,40,Month-to-month,Bank transfer,Yes,Yes,0,54.14,2102.02,No
CUST_00068,52,Female,40,Month-to-month,Mailed check,Yes,Yes,2,65.16,2548.75,No
CUST_00069,31,Male,33,Month-to-month,Credit card,No,No,1,54.53,1847.88,No
CUST_00070,34,Male,6,Month-to-month,Bank transfer,No,Yes,1,80.9,505.35,Yes
CUST_00071,53,Female,19,Month-to-month,Bank transfer,Yes,Yes,3,105.62,2059.28,No
CUST_00072,67,Female,40,Two year,Mailed check,Yes,Yes,1,35.57,1439.03,No
CUST_00073,57,Male,59,One year,Credit card,No,Yes,1,56.23,3324.72,No
CUST_00074,21,Female,59,Month-to-month,Bank transfer,Yes,Yes,0,33.38,1883.12,No
CUST_00075,19,Male,48,Month-to-month,Bank transfer,Yes,Yes,4,79.37,3796.24,No
CUST_00076,23,Male,41,Two year,Bank transfer,No,Yes,0,89.24,3657.47,No
CUST_00077,71,Male,13,One year,Mailed check,Yes,No,4,108.53,1508.55,Yes
CUST_00078,59,Female,45,Month-to-month,Credit card,Yes,Yes,1,46.49,2126.4,No
