house_id,sqft_living,bedrooms,bathrooms,year_built,neighborhood,garage_spaces,has_pool,price
HOUSE_00001,4495,2,3.5,1985,Suburb,2,No,787259.21
HOUSE_00002,4337,2,4.0,2020,SouthHills,1,No,1064014.11
HOUSE_00003,4458,5,1.5,2001,Downtown,2,Yes,1250112.08
HOUSE_00004,799,2,1.5,1982,Downtown,0,Yes,394851.4
HOUSE_00005,2786,4,3.0,2005,WestEnd,1,No,505782.35
HOUSE_00006,3010,1,2.5,2008,SouthHills,2,No,790151.0
HOUSE_00007,849,5,4.0,1989,Downtown,1,No,516650.52
HOUSE_00008,2356,1,2.5,1962,Northside,2,No,542573.58
HOUSE_00009,3437,4,2.5,1987,Downtown,2,No,972833.38
HOUSE_00010,3560,2,4.0,1992,SouthHills,1,Yes,931924.25
HOUSE_00011,2053,3,2.0,2001,SouthHills,1,No,592290.68
HOUSE_00012,1843,4,3.0,1962,Downtown,3,No,705653.33
HOUSE_00013,2307,3,4.0,1964,SouthHills,1,No,667399.32
HOUSE_00014,2966,1,1.5,2016,SouthHills,2,No,749981.2
HOUSE_00015,3653,5,4.0,1978,Northside,2,Yes,868217.67
HOUSE_00016,2537,2,3.5,2001,WestEnd,3,No,525000.73
HOUSE_00017,3894,4,4.0,2021,SouthHills,2,Yes,1046826.75
HOUSE_00018,943,2,2.0,2017,Suburb,2,No,319415.23
HOUSE_00019,3633,3,2.5,2016,WestEnd,3,No,614094.79
HOUSE_00020,1286,3,1.0,2007,WestEnd,2,No,316369.56
HOUSE_00021,3265,5,2.0,1960,Suburb,2,No,621580.83
HOUSE_00022,3792,3,2.0,1997,Downtown,0,No,999341.89
HOUSE_00023,2937,5,3.0,1968,Northside,1,No,689090.41
HOUSE_00024,3996,4,3.5,2019,SouthHills,2,No,1025878.66
HOUSE_00025,3662,5,2.0,1964,Downtown,1,Yes,1053738.58
HOUSE_00026,3362,3,4.0,2018,Suburb,1,No,656143.91
HOUSE_00027,1555,1,3.5,2005,Northside,0,No,444936.49
HOUSE_00028,3213,5,3.0,2001,Northside,2,Yes,815101.57
HOUSE_00029,2846,2,4.0,1993,Northside,1,Yes,713407.29
HOUSE_00030,2735,1,1.0,1996,Suburb,1,No,536035.88
HOUSE_00031,1529,5,1.5,1992,Downtown,1,No,584482.85
HOUSE_00032,2086,2,1.5,1984,SouthHills,2,No,584999.45
HOUSE_00033,3744,1,2.5,2001,Northside,1,No,803284.99
HOUSE_00034,3854,5,2.5,1988,Northside,1,No,822897.39
HOUSE_00035,2416,4,1.0,2017,Downtown,0,No,696080.16
HOUSE_00036,2387,2,1.5,1984,Northside,1,Yes,585138.29
HOUSE_00037,755,4,2.5,2013,Northside,2,No,399598.02
HOUSE_00038,2425,3,3.5,2018,Suburb,2,No,520144.59
HOUSE_00039,2653,5,2.0,1968,WestEnd,1,No,489300.58
HOUSE_00040,1745,5,3.0,2021,Downtown,1,No,684197.14
HOUSE_00041,3327,2,4.0,1962,Downtown,2,No,958666.16
HOUSE_00042,884,5,2.5,1974,Downtown,1,No,486254.74
